training_percent,n_samples,train_mean,train_std,val_mean,val_std,test_mean,test_std,dist_min,dist_median,dist_max
10.0,135,7.584142093822135,,4.9336357569421825,,4.583590776345951,,0.8656822359908626,0.8757013948690047,0.9711650080807196
20.0,270,2.1487603783095364,,0.838077006130658,,0.8234594753980635,,0.8523197126498249,0.8656822359908626,0.9711650080807196
30.0,406,2.1197307134492323,,0.29110319467564016,,0.2534838122818215,,0.8479992354991301,0.856618399134557,0.9711650080807196
40.0,541,0.255078884078905,,0.1865558939964297,,0.18370287653081932,,0.847457627118644,0.8523197126498249,0.9711650080807196
50.0,676,0.41805354975136616,,0.3959456642357673,,0.3576165636982902,,0.7014912308982475,0.8496219890891173,0.9711650080807196
60.0,811,0.41932869435465836,,0.39636297299044687,,0.3990052253343221,,0.6955756495286627,0.8479992354991301,0.9711650080807196
70.0,946,0.6624398306643448,,0.6781399105183334,,0.6711358424146906,,0.6949152542372881,0.8479992354991301,0.9711650080807196
80.0,1082,0.2619375304367142,,0.10917892495343723,,0.10549648213995422,,0.18181818181818188,0.847457627118644,0.9711650080807196
90.0,1217,0.12186782390433125,,0.0849503172059051,,0.08107986867908777,,0.08570991287109668,0.7415801957283918,0.9711650080807196
100.0,1352,0.17920062919608842,,0.19118642982054024,,0.17714804802103426,,0.030303030303030276,0.7014912308982475,0.9711650080807196
